//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 61834000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
61834000;1;01/01/1941;;1;1;372,481;142,442;234,555;7;1;1;1;1;;;142,442;267,057;307,852;326,448;195,709;199,594;372,481;320,234;265,038;227,062;217,199;240,963;248,955;252,963;236,98;246,954;238,971;217,199;215,234;203,49;215,234;207,395;199,594;199,594;199,594;225,085;265,038;244,955;209,351;191,834;170,705;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/02/1941;;1;1;176,435;95,221;129,3281;28;17;1;1;1;;;161,211;157,433;155,549;153,667;148,041;146,172;146,172;140,582;138,726;127,655;120,343;116,708;113,088;102,32;102,32;98,762;95,221;98,762;109,483;120,343;118,523;118,523;125,822;122,165;118,523;138,726;149,913;176,435;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
61834000;1;01/03/1941;;1;1;217,199;95,221;127,1779;27;12;1;1;1;;;153,667;138,726;133,175;120,343;109,483;102,32;102,32;98,762;98,762;102,32;98,762;95,221;95,221;100,539;100,539;107,686;127,655;131,332;120,343;107,686;102,32;105,893;109,483;136,872;168,801;207,395;217,199;201,541;168,801;146,172;133,175;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/04/1941;;1;1;168,801;79,566;112,308;10;29;1;1;1;;;125,822;120,343;151,789;149,913;146,172;138,726;131,332;131,332;138,726;168,801;155,549;123,992;123,992;120,343;114,896;113,088;100,539;95,221;93,457;93,457;91,698;84,703;84,703;84,703;82,993;81,273;81,273;81,273;79,566;79,566;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/05/1941;;1;1;79,566;64,801;68,4548;1;19;1;1;1;;;79,566;79,566;79,566;79,566;66,388;66,388;69,602;66,388;69,602;67,988;67,988;67,988;67,988;67,988;66,388;66,388;66,388;66,388;64,801;64,801;66,388;66,388;66,388;64,801;64,801;64,801;64,801;64,801;67,988;67,988;71,229;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/06/1941;;1;1;71,229;57,078;63,5905;1;26;1;1;1;;;71,229;71,229;69,602;69,602;67,988;67,988;67,988;66,388;66,388;64,801;64,801;64,801;64,801;64,801;63,229;63,229;63,229;61,67;61,67;61,67;60,125;60,125;58,595;58,595;58,595;57,078;57,078;58,595;58,595;63,229;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/07/1941;;1;1;71,229;52,616;61,5833;22;31;1;1;1;;;64,801;64,801;64,801;61,67;58,595;58,595;58,595;60,125;60,125;57,078;55,576;55,576;55,576;57,078;64,801;63,229;64,801;60,125;66,388;67,988;67,988;71,229;67,988;66,388;66,388;61,67;61,67;61,67;55,576;55,576;52,616;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/08/1941;;1;1;52,616;42,722;48,0886;1;30;1;1;1;;;52,616;52,616;52,616;52,616;51,157;51,157;51,157;51,157;49,714;49,714;48,285;48,285;48,285;45,473;45,473;51,157;48,285;48,285;48,285;46,871;46,871;46,871;46,871;46,871;46,871;45,473;44,09;44,09;44,09;42,722;42,722;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/09/1941;;1;1;186,04;37,407;93,3904;29;1;1;1;1;;;37,407;38,712;41,369;44,09;44,09;48,285;52,616;67,988;60,125;96,99;82,993;86,445;74,524;82,993;95,221;107,686;136,872;138,726;127,655;107,686;102,32;98,762;96,99;82,993;81,273;102,32;129,492;176,435;186,04;172,613;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/10/1941;;1;1;146,172;52,616;83,5584;1;29;1;1;1;;;146,172;122,165;107,686;102,32;96,99;84,703;84,703;91,698;95,221;96,99;102,32;98,762;82,993;76,191;71,229;67,988;69,602;86,445;102,32;98,762;88,191;81,273;67,988;63,229;61,67;61,67;61,67;55,576;52,616;54,089;57,078;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
