Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02147004


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2147004;1;01/06/2020;1;6,4;8,7;8;3;1;1;1;;0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/05/2020;1;12,1;12,1;23;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/04/2020;1;14,9;27,9;3;3;1;1;1;;0;0,0;0,0;14,9;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;12,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/03/2020;1;;;;;0;0;0;;0;1,9;12,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;4,2;38,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;
2147004;1;01/02/2020;1;35,0;211,0;5;17;1;1;1;;0;0,0;0,7;9,0;0,0;35,0;18,0;20,0;14,0;0,0;0,0;2,3;13,0;0,0;0,0;0,0;0,0;3,0;4,0;0,0;0,0;27,2;2,1;4,7;18,3;0,0;2,7;33,6;3,4;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
2147004;1;01/01/2020;1;;;;;0;0;0;;0;0,0;13,0;61,0;6,0;13,0;14,0;2,6;20,0;9,0;;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;2,0;21,8;;6,5;10,0;;4,9;0,0;0,0;0,0;;12,0;0,0;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1;;1;1;1;1;;1;1;
2147004;1;01/12/2019;1;;;;;0;0;0;;0;4,1;0,4;0,0;0,0;8,6;11,0;5,7;0,0;47,0;0,0;4,8;18,0;0,0;2,5;6,1;0,0;0,0;23,0;1,0;2,8;0,3;0,0;0,1;;;3,6;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;;
2147004;1;01/11/2019;1;;;;;0;0;0;;0;0,0;0,0;3,3;0,0;3,1;25,4;5,8;21,7;0,0;8,7;0,0;0,0;6,0;33,3;28,6;7,1;0,0;0,0;0,0;0,0;0,0;0,0;;11,3;0,0;0,0;0,0;11,0;1,0;22,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;;
2147004;1;01/10/2019;1;39,0;119,3;7;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;39,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,0;0,0;0,0;0,0;0,0;0,0;16,2;0,0;27,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/09/2019;1;31,5;68,5;26;4;1;1;1;;0;0,0;17,0;0,0;0,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,8;31,5;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
